word,count,isDifficult,difficulty,translation,definition,phonetic
water,2,yes,foundation,"n. 水, 雨水, 海水, 水位, 水面, 流水；vt. 给...浇水, 供以水, 注入水, 使湿；vi. 流泪, 流口水, 加水；a. 水的, 水上的, 水生的, 含水的","n. binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent；n. once thought to be one of four elements composing the universe (Empedocles)；n. a liquid necessary for the life of most animals and plants；v. supply with water, as with channels or ditches or streams",'wɒ:tә
comrade,2,no,,,,
works,2,no,,,,
everybody,2,no,,,,
america,2,no,,,,
war,2,no,,,,
zone,2,yes,foundation,"n. 地带, 带, 地区；vt. 环绕, 使分成地带；vi. 分成区；[计] 卡片顶部的三行区; 区; 区域",n. a locally circumscribed place characterized by some distinctive features；n. any of the regions of the surface of the Earth loosely divided according to latitude or longitude；n. an area or region distinguished from adjacent parts by a distinctive feature or characteristic；n. (anatomy) any encircling or beltlike structure,zәun
legal,2,no,,,,
place,2,yes,foundation,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位；vt. 放置, 寄予, 认出, 评定, 任命；vi. 名次列前",n. any area set aside for a particular purpose；n. an abstract mental location；n. a general vicinity；n. a particular situation,pleis
avoid,2,yes,intermediate,"vt. 避免, 防止, 撤消；[法] 避免, 回避, 躲开",v. stay clear from; keep away from; keep out of the way of someone or something；v. refrain from doing something,ә'vɒid
shouldn't,2,no,,,,
agree,2,yes,foundation,"vi. 同意, 赞成, 应允, 适合；vt. 承认, 认定, 同意","v. be in accord; be in agreement；v. consent or assent to a condition, or agree to do something；v. show grammatical agreement；v. be agreeable or suitable",ә'gri:
worth,2,no,,,,
learn,2,yes,foundation,vt. 学习；认识到；得知,"v. gain knowledge or skills；v. get to know or become aware of, usually accidentally；v. be a student of a certain subject",lә:n
teaching,2,no,,,,
old,2,yes,intermediate,"n. 以前, 往昔；a. 老的, 旧的, 古老的, 年长的, 老练的",n. past times (especially in the phrase `in days of old')；a. (used especially of persons) having lived for a relatively long time or attained a specific age；a. of long duration; not new；s. (used for emphasis) very familiar,әuld
soon,2,no,,,,
grand,2,no,,,,
name,2,yes,foundation,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名；vt. 命名, 称呼, 任命, 提名, 列举；a. 姓名的, 据以取名的；[计] 名称, 文件名, 姓名",n. a language unit by which a person or thing is known；n. a person's reputation；n. family based on male descent；n. a well-known or notable person,neim
eddie,2,no,,,,
love,2,no,,,,
big,2,no,,,,
drive,2,no,,,,
second,2,no,,,,
happen,2,no,,,,
mayfield,2,no,,,,
here's,2,no,,,,
men,2,yes,intermediate,"n. 男人, 人类, 人；vt. 为...配备人手, 操纵, 使振奋；[计] 城域网, 手册",n. an adult person who is male (as opposed to a woman)；n. the generic use of the word to refer to any human being；n. a male subordinate；n. an adult male person who has a manly character (virile and courageous competent),mæn
years,2,no,,,,
assume,2,yes,advanced,"vt. 假定, 承担, 呈现；vi. 装腔作势, 僭越","v. take to be the case or to be true; accept without verification or proof；v. take on titles, offices, duties, responsibilities；v. take on a certain form, attribute, or aspect；v. occupy or take on",ә'sju:m
walk,2,no,,,,
impossible,2,no,,,,
nellis,2,no,,,,
throw,2,no,,,,
pack,2,no,,,,
how's,2,no,,,,
actually,2,no,,,,
family,2,no,,,,
harringtons,2,no,,,,
week,2,no,,,,
except,2,no,,,,
total,2,no,,,,
stranger,2,no,,,,
against,2,no,,,,
